,PUMA,ACCESSINET_PUMA,BROADBND_PUMA,COMPOTHX_PUMA,DIALUP_PUMA,HISPEED_PUMA,LAPTOP_PUMA,OTHSVCEX_PUMA,SATELLITE_PUMA,SMARTPHONE_PUMA,TABLET_PUMA,VALP_PUMA,FINCP_PUMA,HHL_PUMA,HINCP_PUMA,HUPAOC_PUMA,Have_internet_PUMA,Have_3C_PUMA,Eligible_PUMA,AGEP_PUMA,SCHL_PUMA,SEX_PUMA,RACWHT_PUMA,WRK_PUMA
0,101,0.9600410984494676,0.8636278722211844,0.015878946385204557,0.01627124976648608,0.8311600971417896,0.9181206799925276,0.0052867550906033995,0.03138427050252195,0.9077339809452644,0.6704838408369139,501938.52045581915,88036.19047263217,0.6703530730431534,130559.92871287129,0.20687464972912387,0.9600410984494676,0.9291612180085933,0.5595367083878199,37.30965716876504,0.5088829212150804,0.48751089875492626,0.6400027900812612,0.4505144212325184
1,102,0.876328161091334,0.7953069376885241,0.03262316910785619,0.011508464903937607,0.7385119160846763,0.7990706269192097,0.0067529008940460334,0.031291611185086554,0.8656756977091769,0.5730862251691622,167786.34337889616,44123.68762738118,0.5973667762710944,98514.28400228267,0.1619473355254219,0.876328161091334,0.8857985271338895,0.8089622000597843,38.47937360543901,0.4035036615418674,0.48813567221481047,0.4070865545386224,0.5017623172870218
2,103,0.9482496194824962,0.8662752772341813,0.03749003406537653,0.019533231861998984,0.8568166992824527,0.9083677611074872,0.0056896426759440455,0.041711966369500614,0.8910089149815177,0.7028883090526926,772590.5450460245,129217.58942161339,0.7365912879611509,177072.79254548092,0.24621294484308182,0.9482496194824962,0.9094911937377691,0.3128035080089875,41.603295178890676,0.5420873422698308,0.4832459218266656,0.6389101132764108,0.5039947182184372
3,104,0.8282166264229045,0.7337505543783571,0.03841226038535456,0.019415562016458877,0.6135120484896269,0.6594638545311191,0.006455427980091657,0.06738776918149116,0.8452914798206278,0.5281624205391021,192489.03562804908,47180.8876459863,0.4982999063716553,67578.02434336963,0.32434829744246785,0.8282166264229045,0.8689695954269945,1.4485536884640025,34.444946996466435,0.13423842291240468,0.4792486516644969,0.2256648688859959,0.3755179468104891
4,105,0.9185182843958406,0.8310155188217074,0.020575871550933975,0.02157147823888239,0.8009576788141218,0.84051329055912,0.008328328961092323,0.04696735042194759,0.8672050317645943,0.6646385789689939,403190.3252315181,87079.0532254496,0.5527039413382218,116996.8575650305,0.28189892221625207,0.9185182843958406,0.8928853630013591,0.6163753595246373,40.280682661950834,0.32606120378400133,0.4900440408780969,0.4633191064859687,0.46585273229154267
5,106,0.9174997881894433,0.8356561891044649,0.039100228755401166,0.026010336355163942,0.7834448868931627,0.8325002118105567,0.004765737524358214,0.05740066084893671,0.8804541218334322,0.6550876895704482,416356.90926035756,89411.39017622638,0.5409006184868254,112248.92559095145,0.3015758705413878,0.9174997881894433,0.9096416165381682,0.7683004320935355,39.577377870736605,0.2458047726535374,0.4900494936735074,0.5074654683261198,0.45267038041790053
6,107,0.9190219117180057,0.8500688049116122,0.09355350905049221,0.027479623160791784,0.8031756113051762,0.8449454853392612,0.006499417804594051,0.06363925055573198,0.8975759500370488,0.6836032602942733,364193.19995765854,89802.98333862601,0.3846088705409125,111250.11108288345,0.3278712818884302,0.9190219117180057,0.9177516671959353,1.0090610775907696,37.70077339034205,0.21930960764587526,0.4992014587525151,0.376395875251509,0.46178948692152916
7,108,0.9484256984256985,0.8934388934388935,0.1856856856856857,0.020634270634270636,0.8727818727818728,0.9121166621166621,0.006688506688506689,0.05464555464555464,0.932068432068432,0.7985712985712986,568974.5040495041,130270.57739557739,0.3078760578760579,148797.01292201292,0.36104286104286104,0.9484256984256985,0.9489034489034489,0.6524934024934025,38.68811263470457,0.33103793414072663,0.5096253294631835,0.27113068428252096,0.46359056484169087
8,109,0.948142999607144,0.9024357075942099,0.16453114139796318,0.013221117524402406,0.8866912453537216,0.9278655827868605,0.0037623523012299417,0.03676226164213835,0.9319301320600768,0.8027107068387175,650521.8367531957,138574.77150886948,0.3325979873681666,157052.51273760237,0.3932035901000272,0.948142999607144,0.9478559124837569,0.48440663624550484,38.10486200334245,0.4175014731879788,0.4945806002878754,0.28302597640967186,0.46587517026188935
9,110,0.9649961767668799,0.8950977655326431,0.02475998592079232,0.022854437984731343,0.8819774004442232,0.9278683351336918,0.0040052918401281695,0.05379228313772135,0.9145901858212668,0.7981454285055406,688809.1551261666,151260.06640288382,0.6048354796033547,176350.37833015743,0.3751501984440048,0.9649961767668799,0.9357696835819447,0.3089657850978869,38.41175172758305,0.4190242277911914,0.49286071101490303,0.6205561568562151,0.4780076596453251
